	nGEC	ageGEC	ageGECSD	GEC	GECSD	nCaf	ageCaf	ageCafSD	Caf	CafSD	nAP	ageAP	ageAPSD	AP	APSD
young adult subjects [<40yr]	70	25	5	7.48	0.94	15	29	6	1.49	0.44	20	29	6	0.79	0.15
middle aged subjects [40-70yr]	11	53	8	7.08	0.68	14	55	8	1.46	0.55	11	55	8	0.74	0.21
elderly subjects [>70yr]	13	78	5	6.08	1.3	9	78	6	0.97	0.39	13	78	5	0.62	0.2

