time	outflow	compound	condition	study	time_shift	time_exp
0.0430885877451979	0.17678298	RBC	-	gor1983	-1.5403398122548	1.5834284
1.5499700877452	6.3591857	RBC	-	gor1983	-1.5403398122548	3.0903099
3.4363056877452	14.288503	RBC	-	gor1983	-1.5403398122548	4.9766455
5.1439271877452	9.0576725	RBC	-	gor1983	-1.5403398122548	6.684267
6.8176491877452	4.2411547	RBC	-	gor1983	-1.5403398122548	8.357989
8.4121701877452	2.324096	RBC	-	gor1983	-1.5403398122548	9.95251
12.7341051877452	0.41749522	RBC	-	gor1983	-1.5403398122548	14.274445
1.5587181877452	1.1821908	albumin	-	gor1983	-1.5403398122548	3.099058
3.5133211877452	5.406795	albumin	-	gor1983	-1.5403398122548	5.053661
5.0464471877452	7.7006087	albumin	-	gor1983	-1.5403398122548	6.586787
6.9301271877452	6.702567	albumin	-	gor1983	-1.5403398122548	8.470467
8.5299581877452	5.1766315	albumin	-	gor1983	-1.5403398122548	10.070298
10.1683751877452	3.5814924	albumin	-	gor1983	-1.5403398122548	11.708715
13.3416371877452	1.4961078	albumin	-	gor1983	-1.5403398122548	14.881977
19.2152891877452	0.34165314	albumin	-	gor1983	-1.5403398122548	20.755629
1.5480953877452	0.39994422	Na	-	gor1983	-1.5403398122548	3.0884352
5.1265871877452	4.870171	Na	-	gor1983	-1.5403398122548	6.666927
6.8837301877452	6.196589	Na	-	gor1983	-1.5403398122548	8.42407
8.4979341877452	5.728987	Na	-	gor1983	-1.5403398122548	10.038274
10.1055761877452	4.778233	Na	-	gor1983	-1.5403398122548	11.645916
11.9858181877452	3.5271115	Na	-	gor1983	-1.5403398122548	13.526158
13.5147271877452	2.5997283	Na	-	gor1983	-1.5403398122548	15.055067
15.2045401877452	1.878683	Na	-	gor1983	-1.5403398122548	16.74488
1.6265169877452	0.35356596	sucrose	-	gor1983	-1.5403398122548	3.1668568
5.1265871877452	4.870171	sucrose	-	gor1983	-1.5403398122548	6.666927
6.8837301877452	6.196589	sucrose	-	gor1983	-1.5403398122548	8.42407
8.4979341877452	5.728987	sucrose	-	gor1983	-1.5403398122548	10.038274
10.1055761877452	4.778233	sucrose	-	gor1983	-1.5403398122548	11.645916
11.9858181877452	3.5271115	sucrose	-	gor1983	-1.5403398122548	13.526158
13.5147271877452	2.5997283	sucrose	-	gor1983	-1.5403398122548	15.055067
15.2045401877452	1.878683	sucrose	-	gor1983	-1.5403398122548	16.74488
3.3621016877452	0.09248369	water	-	gor1983	-1.5403398122548	4.9024415
5.0650371877452	0.3377428	water	-	gor1983	-1.5403398122548	6.605377
6.7673481877452	0.5369874	water	-	gor1983	-1.5403398122548	8.307688
8.4307601877452	0.7824284	water	-	gor1983	-1.5403398122548	9.9711
10.0543361877452	1.005044	water	-	gor1983	-1.5403398122548	11.594676
11.7974201877452	1.2961358	water	-	gor1983	-1.5403398122548	13.33776
13.4598951877452	1.472555	water	-	gor1983	-1.5403398122548	15.000235
15.2014161877452	1.6486105	water	-	gor1983	-1.5403398122548	16.741756
16.8256171877452	1.9172406	water	-	gor1983	-1.5403398122548	18.365957
18.5257401877452	1.9554344	water	-	gor1983	-1.5403398122548	20.06608
20.1857151877452	1.9477956	water	-	gor1983	-1.5403398122548	21.726055
21.8858401877452	1.9859896	water	-	gor1983	-1.5403398122548	23.42618
23.4645811877452	1.8176638	water	-	gor1983	-1.5403398122548	25.004921
1.02987591787682	2.174543	RBC	A	gor1973	-5.80827268212318	6.8381486
2.16058701787682	10.959793	RBC	A	gor1973	-5.80827268212318	7.9688597
3.54948831787682	15.169429	RBC	A	gor1973	-5.80827268212318	9.357761
4.72186231787682	9.356704	RBC	A	gor1973	-5.80827268212318	10.530135
6.05367831787682	4.6224904	RBC	A	gor1973	-5.80827268212318	11.861951
7.38669531787682	2.1493807	RBC	A	gor1973	-5.80827268212318	13.194968
8.63939131787682	1.1510888	RBC	A	gor1973	-5.80827268212318	14.447664
9.80415431787682	1.0421475	RBC	A	gor1973	-5.80827268212318	15.612427
11.0432283178768	1.109099	RBC	A	gor1973	-5.80827268212318	16.851501
12.2055873178768	1.1335019	RBC	A	gor1973	-5.80827268212318	18.01386
13.5249853178768	1.0473821	RBC	A	gor1973	-5.80827268212318	19.333258
3.51523631787682	1.7122039	sucrose	A	gor1973	-5.80827268212318	9.323509
4.66036931787682	4.1706176	sucrose	A	gor1973	-5.80827268212318	10.468642
5.89223431787682	6.3846374	sucrose	A	gor1973	-5.80827268212318	11.700507
7.05339131787682	6.9327245	sucrose	A	gor1973	-5.80827268212318	12.861664
8.68526031787682	5.677232	sucrose	A	gor1973	-5.80827268212318	14.493533
9.77450931787682	4.645709	sucrose	A	gor1973	-5.80827268212318	15.582782
10.9420763178768	3.6514792	sucrose	A	gor1973	-5.80827268212318	16.750349
12.2654783178768	2.7569728	sucrose	A	gor1973	-5.80827268212318	18.073751
13.5888813178768	2.0815945	sucrose	A	gor1973	-5.80827268212318	19.397154
14.7560493178768	1.669494	sucrose	A	gor1973	-5.80827268212318	20.564322
16.0730403178768	1.7414035	sucrose	A	gor1973	-5.80827268212318	21.881313
17.3980473178768	1.2127613	sucrose	A	gor1973	-5.80827268212318	23.20632
18.5624093178768	1.1203858	sucrose	A	gor1973	-5.80827268212318	24.370682
19.7263703178768	1.0561651	sucrose	A	gor1973	-5.80827268212318	25.534643
3.61959531787682	0.44246763	galactose	A	gor1973	-5.80827268212318	9.427868
4.76833331787682	0.89862615	galactose	A	gor1973	-5.80827268212318	10.576606
6.08292231787682	1.0580962	galactose	A	gor1973	-5.80827268212318	11.891195
7.32239881787682	1.1035559	galactose	A	gor1973	-5.80827268212318	13.1306715
8.64259631787682	0.9793398	galactose	A	gor1973	-5.80827268212318	14.450869
9.80896131787682	0.8178356	galactose	A	gor1973	-5.80827268212318	15.617234
11.1303603178768	0.6831079	galactose	A	gor1973	-5.80827268212318	16.938633
12.2188073178768	0.58203423	galactose	A	gor1973	-5.80827268212318	18.02708
13.6185273178768	0.46695316	galactose	A	gor1973	-5.80827268212318	19.4268
14.7848913178768	0.38994732	galactose	A	gor1973	-5.80827268212318	20.593164
16.1846093178768	0.31284606	galactose	A	gor1973	-5.80827268212318	21.992882
17.3513763178768	0.25603032	galactose	A	gor1973	-5.80827268212318	23.159649
18.5956573178768	0.20955472	galactose	A	gor1973	-5.80827268212318	24.40393
19.7624253178768	0.17149763	galactose	A	gor1973	-5.80827268212318	25.570698
