,name,mean,std,unit,meanlog,meanlog_error,sdlog,sdlog_error,scale_fac,scale_unit,llb,lb,ub,uub
L,L,5e-04,0.000125,m,6.18429578751397,NA,0.24622067706924,NA,1000000,µm,0.000273554491279033,0.000323532254514262,0.000727266337015826,0.000860136189126035
y_sin,y_sin,4.4e-06,4.5e-07,m,1.46527331022355,0.010274714892993,0.101714488058313,0.00726532057559379,1000000,µm,3.41661408543785e-06,3.66184773491691e-06,5.11705334498679e-06,5.48433909485203e-06
y_dis,y_dis,1.2e-06,4e-07,m,0.129641298965041,NA,0.324592845974501,NA,1000000,µm,5.35007465382981e-07,6.67466270534705e-07,1.94167114835897e-06,2.42239610445859e-06
y_cell,y_cell,7.58e-06,1.25e-06,m,1.97690031490881,0.0140416504773374,0.139005247802072,0.00992894627157659,1000000,µm,5.22537074964775e-06,5.74458130584441e-06,9.07518350534687e-06,9.97692451113398e-06
flow_sin,flow_sin,0.00027,5.8e-05,m/s,5.45720754370639,0.0267357281248568,0.617820969672915,0.0189050146570461,1000000,µm/s,5.56978220298076e-05,8.48582723663428e-05,0.000647703225742314,0.000986806570518787
