time, S001__rbcM, S001__suc, S001__alb, S001__gal, S001__galM, S001__h2oM, D001__rbcM, D001__suc, D001__alb, D001__gal, D001__galM, D001__h2oM, S002__rbcM, S002__suc, S002__alb, S002__gal, S002__galM, S002__h2oM, D002__rbcM, D002__suc, D002__alb, D002__gal, D002__galM, D002__h2oM, S003__rbcM, S003__suc, S003__alb, S003__gal, S003__galM, S003__h2oM, D003__rbcM, D003__suc, D003__alb, D003__gal, D003__galM, D003__h2oM, S004__rbcM, S004__suc, S004__alb, S004__gal, S004__galM, S004__h2oM, D004__rbcM, D004__suc, D004__alb, D004__gal, D004__galM, D004__h2oM, S005__rbcM, S005__suc, S005__alb, S005__gal, S005__galM, S005__h2oM, D005__rbcM, D005__suc, D005__alb, D005__gal, D005__galM, D005__h2oM, PV__rbcM, PV__suc, PV__alb, PV__gal, PV__galM, PV__h2oM, H01__gal, H01__galM, H01__h2oM, H01__glc1p, H01__glc6p, H01__gal1p, H01__udpglc, H01__udpgal, H01__galtol, H01__atp, H01__adp, H01__utp, H01__udp, H01__phos, H01__ppi, H01__nadp, H01__nadph
5, 0, 0, 0, 0.000214652, 0, 0, 0, 0, 0, 0.000214917, 0, 0, 0, 0, 0, 0.000214933, 0, 0, 0, 0, 0, 0.000214933, 0, 0, 0, 0, 0, 0.000214934, 0, 0, 0, 0, 0, 0.000214933, 0, 0, 0, 0, 0, 0.000214934, 0, 0, 0, 0, 0, 0.000214933, 0, 0, 0, 0, 0, 0.000214934, 0, 0, 0, 0, 0, 0.000214933, 0, 0, 0, 0, 0, 0.000211655, 0, 0, 0.000214933, 0, 0, 0.0119871, 0.119915, 0.00154108, 0.336054, 0.107895, 0.000862116, 2.87442, 1.02558, 0.269787, 0.0962636, 4.83269, 0.0043292, 0.0998621, 0.100138
5.5, 0, 0, 0, 0.000214528, 0, 0, 0, 0, 0, 0.000214793, 0, 0, 0, 0, 0, 0.000214809, 0, 0, 0, 0, 0, 0.000214809, 0, 0, 0, 0, 0, 0.00021481, 0, 0, 0, 0, 0, 0.000214809, 0, 0, 0, 0, 0, 0.00021481, 0, 0, 0, 0, 0, 0.000214809, 0, 0, 0, 0, 0, 0.000214809, 0, 0, 0, 0, 0, 0.000214809, 0, 0, 0, 0, 0, 0.000212534, 0, 0, 0.000214809, 0, 0, 0.0119872, 0.119916, 0.00158721, 0.335971, 0.107745, 0.000861623, 2.87439, 1.02561, 0.269956, 0.0963278, 4.8325, 0.00433302, 0.0998617, 0.100138
6, 0, 0, 0, 0.000214439, 0, 0, 0, 0, 0, 0.000214704, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.00021472, 0, 0, 0, 0, 0, 0.000213144, 0, 0, 0.00021472, 0, 0, 0.0119873, 0.119916, 0.00163213, 0.33588, 0.107603, 0.00086127, 2.87436, 1.02564, 0.270125, 0.0963919, 4.8323, 0.00433694, 0.0998613, 0.100139
6.5, 0, 0, 0, 0.000214384, 0, 0, 0, 0, 0, 0.000214649, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000214665, 0, 0, 0, 0, 0, 0.000213567, 0, 0, 0.000214665, 0, 0, 0.0119874, 0.119917, 0.00167587, 0.335783, 0.107468, 0.000861052, 2.87433, 1.02567, 0.270294, 0.0964559, 4.83211, 0.00434095, 0.0998611, 0.100139
7, 0, 0, 0, 0.000214362, 0, 0, 0, 0, 0, 0.000214628, 0, 0, 0, 0, 0, 0.000214643, 0, 0, 0, 0, 0, 0.000214644, 0, 0, 0, 0, 0, 0.000214644, 0, 0, 0, 0, 0, 0.000214644, 0, 0, 0, 0, 0, 0.000214644, 0, 0, 0, 0, 0, 0.000214644, 0, 0, 0, 0, 0, 0.000214644, 0, 0, 0, 0, 0, 0.000214644, 0, 0, 0, 0, 0, 0.000213863, 0, 0, 0.000214644, 0, 0, 0.0119875, 0.119918, 0.00171849, 0.335679, 0.10734, 0.000860966, 2.8743, 1.0257, 0.270462, 0.0965197, 4.83192, 0.00434503, 0.099861, 0.100139
7.5, 0, 0, 0, 0.000214373, 0, 0, 0, 0, 0, 0.000214639, 0, 0, 0, 0, 0, 0.000214653, 0, 0, 0, 0, 0, 0.000214654, 0, 0, 0, 0, 0, 0.000214654, 0, 0, 0, 0, 0, 0.000214654, 0, 0, 0, 0, 0, 0.000214654, 0, 0, 0, 0, 0, 0.000214654, 0, 0, 0, 0, 0, 0.000214654, 0, 0, 0, 0, 0, 0.000214654, 0, 0, 0, 0, 0, 0.000214078, 0, 0, 0.000214654, 0, 0, 0.0119876, 0.119918, 0.00176, 0.335569, 0.107218, 0.000861005, 2.87427, 1.02573, 0.27063, 0.0965834, 4.83173, 0.00434919, 0.099861, 0.100139
8, 0, 0, 0, 0.000214414, 0, 0, 0, 0, 0, 0.00021468, 0, 0, 0, 0, 0, 0.000214695, 0, 0, 0, 0, 0, 0.000214696, 0, 0, 0, 0, 0, 0.000214696, 0, 0, 0, 0, 0, 0.000214696, 0, 0, 0, 0, 0, 0.000214696, 0, 0, 0, 0, 0, 0.000214696, 0, 0, 0, 0, 0, 0.000214695, 0, 0, 0, 0, 0, 0.000214696, 0, 0, 0, 0, 0, 0.000214241, 0, 0, 0.000214696, 0, 0, 0.0119877, 0.119919, 0.00180044, 0.335454, 0.107102, 0.000861167, 2.87424, 1.02576, 0.270798, 0.096647, 4.83154, 0.00435342, 0.0998612, 0.100139
8.5, 0, 0, 0, 0.000214485, 0, 0, 0, 0, 0, 0.000214752, 0, 0, 0, 0, 0, 0.000214766, 0, 0, 0, 0, 0, 0.000214768, 0, 0, 0, 0, 0, 0.000214767, 0, 0, 0, 0, 0, 0.000214768, 0, 0, 0, 0, 0, 0.000214767, 0, 0, 0, 0, 0, 0.000214768, 0, 0, 0, 0, 0, 0.000214767, 0, 0, 0, 0, 0, 0.000214768, 0, 0, 0, 0, 0, 0.000214375, 0, 0, 0.000214768, 0, 0, 0.0119878, 0.11992, 0.00183984, 0.335334, 0.106991, 0.000861447, 2.87421, 1.02579, 0.270965, 0.0967106, 4.83136, 0.0043577, 0.0998615, 0.100139
9, 0, 0, 0, 0.000214585, 0, 0, 0, 0, 0, 0.000214852, 0, 0, 0, 0, 0, 0.000214866, 0, 0, 0, 0, 0, 0.000214868, 0, 0, 0, 0, 0, 0.000214867, 0, 0, 0, 0, 0, 0.000214868, 0, 0, 0, 0, 0, 0.000214867, 0, 0, 0, 0, 0, 0.000214868, 0, 0, 0, 0, 0, 0.000214867, 0, 0, 0, 0, 0, 0.000214868, 0, 0, 0, 0, 0, 0.000214496, 0, 0, 0.000214868, 0, 0, 0.0119879, 0.11992, 0.00187824, 0.335209, 0.106885, 0.000861842, 2.87419, 1.02581, 0.271132, 0.096774, 4.83117, 0.00436205, 0.0998619, 0.100138
9.5, 0, 0, 0, 0.000214713, 0, 0, 0, 0, 0, 0.000214981, 0, 0, 0, 0, 0, 0.000214994, 0, 0, 0, 0, 0, 0.000214996, 0, 0, 0, 0, 0, 0.000214995, 0, 0, 0, 0, 0, 0.000214996, 0, 0, 0, 0, 0, 0.000214995, 0, 0, 0, 0, 0, 0.000214996, 0, 0, 0, 0, 0, 0.000214995, 0, 0, 0, 0, 0, 0.000214996, 0, 0, 0, 0, 0, 0.000214615, 0, 0, 0.000214997, 0, 0, 0.011988, 0.119921, 0.00191566, 0.33508, 0.106783, 0.000862346, 2.87416, 1.02584, 0.271299, 0.0968373, 4.83099, 0.00436644, 0.0998624, 0.100138
