time, PP__rbcM, PP__suc, PP__alb, PP__gal, PP__galM, PP__h2oM, S001__rbcM, S001__suc, S001__alb, S001__gal, S001__galM, S001__h2oM, D001__rbcM, D001__suc, D001__alb, D001__gal, D001__galM, D001__h2oM, S002__rbcM, S002__suc, S002__alb, S002__gal, S002__galM, S002__h2oM, D002__rbcM, D002__suc, D002__alb, D002__gal, D002__galM, D002__h2oM, S003__rbcM, S003__suc, S003__alb, S003__gal, S003__galM, S003__h2oM, D003__rbcM, D003__suc, D003__alb, D003__gal, D003__galM, D003__h2oM, S004__rbcM, S004__suc, S004__alb, S004__gal, S004__galM, S004__h2oM, D004__rbcM, D004__suc, D004__alb, D004__gal, D004__galM, D004__h2oM, S005__rbcM, S005__suc, S005__alb, S005__gal, S005__galM, S005__h2oM, D005__rbcM, D005__suc, D005__alb, D005__gal, D005__galM, D005__h2oM, PV__rbcM, PV__suc, PV__alb, PV__gal, PV__galM, PV__h2oM, H01__gal, H01__galM, H01__h2oM, H01__glc1p, H01__glc6p, H01__gal1p, H01__udpglc, H01__udpgal, H01__galtol, H01__atp, H01__adp, H01__utp, H01__udp, H01__phos, H01__ppi, H01__nadp, H01__nadph, FlowPPS001_rbcM, FlowS001S002_rbcM, FlowS002S003_rbcM, FlowS003S004_rbcM, FlowS004S005_rbcM, FlowS005PV_rbcM, FlowPVNULL_rbcM, FlowPPS001_suc, FlowS001S002_suc, FlowS002S003_suc, FlowS003S004_suc, FlowS004S005_suc, FlowS005PV_suc, FlowPVNULL_suc, FlowPPS001_alb, FlowS001S002_alb, FlowS002S003_alb, FlowS003S004_alb, FlowS004S005_alb, FlowS005PV_alb, FlowPVNULL_alb, FlowPPS001_gal, FlowS001S002_gal, FlowS002S003_gal, FlowS003S004_gal, FlowS004S005_gal, FlowS005PV_gal, FlowPVNULL_gal, FlowPPS001_galM, FlowS001S002_galM, FlowS002S003_galM, FlowS003S004_galM, FlowS004S005_galM, FlowS005PV_galM, FlowPVNULL_galM, FlowPPS001_h2oM, FlowS001S002_h2oM, FlowS002S003_h2oM, FlowS003S004_h2oM, FlowS004S005_h2oM, FlowS005PV_h2oM, FlowPVNULL_h2oM, DiffPPS001_rbcM, DiffS001S002_rbcM, DiffS002S003_rbcM, DiffS003S004_rbcM, DiffS004S005_rbcM, DiffS005PV_rbcM, DiffD001D002_rbcM, DiffD002D003_rbcM, DiffD003D004_rbcM, DiffD004D005_rbcM, DiffS001D001_rbcM, DiffS002D002_rbcM, DiffS003D003_rbcM, DiffS004D004_rbcM, DiffS005D005_rbcM, DiffPPS001_suc, DiffS001S002_suc, DiffS002S003_suc, DiffS003S004_suc, DiffS004S005_suc, DiffS005PV_suc, DiffD001D002_suc, DiffD002D003_suc, DiffD003D004_suc, DiffD004D005_suc, DiffS001D001_suc, DiffS002D002_suc, DiffS003D003_suc, DiffS004D004_suc, DiffS005D005_suc, DiffPPS001_alb, DiffS001S002_alb, DiffS002S003_alb, DiffS003S004_alb, DiffS004S005_alb, DiffS005PV_alb, DiffD001D002_alb, DiffD002D003_alb, DiffD003D004_alb, DiffD004D005_alb, DiffS001D001_alb, DiffS002D002_alb, DiffS003D003_alb, DiffS004D004_alb, DiffS005D005_alb, DiffPPS001_gal, DiffS001S002_gal, DiffS002S003_gal, DiffS003S004_gal, DiffS004S005_gal, DiffS005PV_gal, DiffD001D002_gal, DiffD002D003_gal, DiffD003D004_gal, DiffD004D005_gal, DiffS001D001_gal, DiffS002D002_gal, DiffS003D003_gal, DiffS004D004_gal, DiffS005D005_gal, DiffPPS001_galM, DiffS001S002_galM, DiffS002S003_galM, DiffS003S004_galM, DiffS004S005_galM, DiffS005PV_galM, DiffD001D002_galM, DiffD002D003_galM, DiffD003D004_galM, DiffD004D005_galM, DiffS001D001_galM, DiffS002D002_galM, DiffS003D003_galM, DiffS004D004_galM, DiffS005D005_galM, DiffPPS001_h2oM, DiffS001S002_h2oM, DiffS002S003_h2oM, DiffS003S004_h2oM, DiffS004S005_h2oM, DiffS005PV_h2oM, DiffD001D002_h2oM, DiffD002D003_h2oM, DiffD003D004_h2oM, DiffD004D005_h2oM, DiffS001D001_h2oM, DiffS002D002_h2oM, DiffS003D003_h2oM, DiffS004D004_h2oM, DiffS005D005_h2oM, H01__GALK, H01__GALKM, H01__IMP, H01__ATPS, H01__ALDR, H01__NADPR, H01__GALT, H01__GALE, H01__UGP, H01__UGALP, H01__PPASE, H01__NDKU, H01__PGM1, H01__GLY, H01__GTFGAL, H01__GTFGLC, D001__GLUT2_GAL, D001__GLUT2_GALM, D002__GLUT2_GAL, D002__GLUT2_GALM, D003__GLUT2_GAL, D003__GLUT2_GALM, D004__GLUT2_GAL, D004__GLUT2_GALM, D005__GLUT2_GAL, D005__GLUT2_GALM
2028, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103669, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193415, 0.00658515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.46076e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45546e-21, 2.23906e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.22551e-19, 7.44605e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45623e-21, 0, 2.20992e-23, 0
2034, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103695, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193413, 0.00658673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.47092e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45545e-21, 2.23855e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.21978e-19, 7.4459e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45621e-21, 0, 2.2089e-23, 0
2040, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103721, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193412, 0.00658831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.48169e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45544e-21, 2.23797e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.21349e-19, 7.44575e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45621e-21, 0, 2.20864e-23, 0
2046, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103747, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.19341, 0.00658989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.49305e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45544e-21, 2.2374e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.20663e-19, 7.4456e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45621e-21, 0, 2.20788e-23, 0
2052, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103772, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193409, 0.00659147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.505e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45543e-21, 2.23679e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.19918e-19, 7.44544e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45619e-21, 0, 2.20686e-23, 0
2058, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103798, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193407, 0.00659306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.51755e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45543e-21, 2.23614e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.19113e-19, 7.44529e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45619e-21, 0, 2.20584e-23, 0
2064, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103824, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193405, 0.00659464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.5307e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02216e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45542e-21, 2.2355e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.18248e-19, 7.44514e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45618e-21, 0, 2.20456e-23, 0
2070, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.10385, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193404, 0.00659622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.54443e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02216e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45541e-21, 2.23479e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.1732e-19, 7.44498e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45617e-21, 0, 2.20379e-23, 0
2076, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103875, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193402, 0.0065978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.55877e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.45541e-21, 2.23404e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.16328e-19, 7.44483e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45616e-21, 0, 2.20328e-23, 0
2082, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.763478, 0, 0, 0, 0, 0, 0.761356, 0, 0, 0, 0, 0, 0.761249, 0, 0, 0, 0, 0, 0.761229, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0, 0, 0, 0.761228, 0, 0, 0.761228, 0, 0, 0.01326, 0.128224, 0.706691, 0.223839, 0.19532, 0.103901, 2.76423, 1.13577, 0.277012, 0.113829, 4.21457, 0.00750729, 0.193401, 0.00659938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21642e-14, 9.28714e-15, 9.26003e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 9.25977e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.75421e-17, 5.42302e-19, 5.11102e-21, 4.81697e-23, 4.53986e-25, 1.5737e-26, 1.22049e-20, 1.15075e-22, 1.08455e-24, 1.02215e-26, 2.93411e-15, 2.76523e-17, 2.60613e-19, 2.4554e-21, 2.23327e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25224e-15, 0, 2.90918e-16, 3.36732e-15, 7.15272e-19, 7.44468e-19, 1.47365e-15, -2.84624e-15, -1.37259e-15, 1.48767e-15, 1.15081e-16, 1.15081e-16, 2.84624e-15, 2.84624e-15, 1.15081e-16, 0, 2.93409e-15, 0, 2.76644e-17, 0, 2.60727e-19, 0, 2.45615e-21, 0, 2.20226e-23, 0
